"defining donuts (all done in itksnap on niftis); rated on 100";ICA (right/left) (0.07);m1 (0.07) (right/left);m2,m3, m4 onwards - how many arteries and how many have donuts at 0.05? (right and left side combined);a1 (right/left)
20191210_Reconstruction;"right: compartment (184, 308, 181); left: full donut (245,306,178)";"right: fulldonut (172, 305, 190); left: compartment (267,310,186)";"right side: artery1: full donut (138,343,181); arerty2: full donut (125, 341, 180); artery3 full donut (124,357,180); artery4 no donut (118,324,185); left side: artery1: full donut (316,312,201); artery2: no donut (312,346,191);";"right: full donut (212,338,206); left: full donut (216, 328, 190)"
20201020_Reconstruction;"right: compartment (193, 322, 197); left: compartment (242,321,200)";"right: eye donut (171,327,207); left: eye donut (259,324,207)";"right side: artery1: full donut (145,334,203); full donut (151,344,204); full donut (134,345,215); full donut (134,331,215); left side: (300,327,214); full donut (301,343,212); full donut (316,337,235); no donut (311,312,235); no donut (328,315,235)";"right: full donut (218,352,236); full donut (220,357,236)"
20201110_Reconstruction;"right: compartment (194,337,184); left compartment (235,343,185)";"right: eyedonut (185,323,195); left: full donut (243,327,204)";"right side: fulldonut (136,351,200); fulldonut(137,339,200); no donut(129,325,201); no donut (122,331,221); nodonut (128,313,221); no donut(130,286,221); left side: no donut(289,341,193); fulldonut (292,353,198); left: nodonut (292,339,197);nodonut (291,361,1998); nodonut(305,308,224); nodonut(310,296,224)";"right: full donut (214,360,210); left: full donut (208,357,208)"
20201111_Reconstruction;"right: compartment (191,311,179); left: full donut (236,308,181)";"right: eye donut (181, 305, 190); left: eye donut (246,309,190)";"right side: no donut (131,318,196); full donut (118,322,219); no donut(118,298,219);full donut(115,281,211); left side: full donut (303,333,210); full donut (308,301,210); full donut(308,288,210); no donut (320,293,210); full donut (312,284,210)";"right side: full donut (211,335,208); eye donut (214,340,208)"
20201019_Reconstruction;"right: compartment (188,319,188); left: eye donut (238,319,189)";"right: eye donut (175,319,192); left: eye donut(255,321,197)";"right side: full donut (131,330,205); no donut (130,314,205); nodonut (124,319,205); full donut (109,331,232); no donut (113,319,232); no donut (117,299,232); left side: full donut (304,313,214); no donut (304,295,214); full donut (308,292,225); no donut (315,296,225)";"right: full donut (210,334,218); left: full donut (218,334,211)"
20201014_Reconstruction;"right: full donut (196,335,120); left: compartment (246,331,120)";"right: eyedonut (179,334,125); left: eyedonut (267,331,133)";"right: full donut (132,358,139); full donut (134,340,139); full donut (160,355,123); no donut (135,283,162); left side full donut (301,340,133); full donut (297,355,143); full donut(302,344,143); fulldonut(307,336,143); full donut (312,317,152)";"right: full donut(220,356,148); left: full donut (221,364,150)"
20201016_Reconstruction;"right: compartment (192,316,168); left: full donut (237,314,172)";"right: eye donut (171,308,187); left: eye donut (255,311,187)";"right: full donut (124,322,205); no donut(119,313,205); no donut(129,257,222); no donut(119,276,222); full donut(133,328,191): left: no donut(316,332,206); no donut (318,328,206); fulldonut(314,320,206); fulldonut(307,313,205); fulldonut(302,287,208)";"right: full donut(209,339,196); left: fulldonut(211,352,199)"
20201008_Reconstruction;"right: compartment(192,320,155); left: full donut(235,319,165)";"right: eye donut(176,316,165); left: eye donut(242,318,168)";"right: full donut (132,347,179); no donut(126,332,179); no donut(127,315,182); full donut(121,299,202); left: fulldonut(295,338,176); no donut(295,331,174); no donut(294,337,174); no donut(291,357,191)";"right: fulldonut(202,345,173); eye donut(207,354,179)"
20191022_Reconstruction;"right: compartment(217,276,255); left: full donut (262,277,257)";"right: eye donut (196,275,264); left: eye donut (270,282,263)";"right: full donut (148,293,277); full donut (149,268,277); no donut(161,300,277); full donut(145,240,299); left: full donut (327,284,281); full donut (336,307,288); no donut 328,254,286);";"right: full donut(234,305,276); left: full donut (234,312,283)"
20191112_Reconstruction;"right: compartment(185,338,180); left: full donut(243,329,178)";"right: eye donut(175,335,188); left: eye donut(251,331,185)";"right: no donut (115,350,197); no donut (128,353,197); no donut (117,336,197); no donut(116,343,213); full donut (120,319,216); left: no donut (318,358,201); no donut (314,345,201); no donut (320,346,201); no donut (325,330,201); no donut (320,331,201); no donut (313,325,201)";"right: full donut(213,340,199); left: eye donut (213,363,202)"
